n02119789	kit fox, vulpes macrotis
n03581531	interstice
n07931452	planter's punch
n00455076	overcast
n09835153	balletomane
n06596364	comic book
n07599554	peppermint patty
n03410423	gaffsail, gaff headed sail
n04335693	street clothes
n04026918	push broom
n08628141	kasbah, casbah
n10441124	pleaser
n07589458	bigos
n04298661	stairwell
n13073055	hygrophorus turundus
n03958752	plastic wrap
n10727458	treasury, first lord of the treasury
n03956623	planking
n04365229	surtout
n12267931	cupule, acorn cup
n07618281	vanilla pudding
n09705784	eritrean
n03935335	piggy bank, penny bank
n07565608	mess
n10580030	separatist, separationist
n03241903	drip loop
n09869447	bounty hunter
n03908111	pen and ink
n10331841	mortician, undertaker, funeral undertaker, funeral director
n03476083	hairpiece, false hair, postiche
n03527565	holster
n07694839	hardtack, pilot biscuit, pilot bread, sea biscuit, ship biscuit
n03129848	creel
n02883344	box
n02998841	chador, chadar, chaddar, chuddar
n07591049	irish stew
n10595164	sibling, sib
n10286749	malthusian
n09856671	birth
n13033396	verpa conica, conic verpa
n04395106	tartan, plaid
n03406759	fur piece
n10282482	maid, maiden
n11674019	apetalous flower
n03981340	pontifical
n10241300	laborer, manual laborer, labourer, jack
n10150794	guesser
n03577818	interchange
n10763245	wailer
n13077033	mold, mould
n02774630	baggage, luggage
n10668450	subduer, surmounter, overcomer
n02942349	camcorder
n10757492	visualizer, visualiser
n07861681	chicken provencale
n00440218	jumping
n00467719	field game
n01319467	marine animal, marine creature, sea animal, sea creature
n06255081	vehicle
n04449700	toll line
n10055297	enchantress, witch
n10433610	piltdown man, piltdown hoax
n04241394	slipper, carpet slipper
n03050026	cloth covering
n10185793	horseman, equestrian, horseback rider
n07641928	fish cake, fish ball
n04252560	snowsuit
n10006177	dermatologist, skin doctor
n03219859	dolman
n10699752	tempter
n13875884	bight
n07868508	frittata
n07898117	saint emilion
n03248835	drugget
n13001529	meadow mushroom, field mushroom, agaricus campestris
n02998107	cerecloth
n04508949	underwear, underclothes, underclothing
n07567390	concentrate
n00447361	luging
n09898020	cartesian
n03394272	freight liner, liner train
n10685398	sylph
n00483409	singles
n09718217	japanese, nipponese
n03232923	drape
n07812662	spearmint oil
n00466273	professional golf
n10196725	iconoclast
n10582604	server
n10406266	patriarch
n10609198	slattern, slut, slovenly woman, trollop
n02763901	awning, sunshade, sunblind
n10703336	testator, testate
n12981443	tobacco mildew, peronospora hyoscyami
n04519887	vambrace, lower cannon
n09873348	brawler
n12981954	white rust
n09681234	copt
n04544450	waist pack, belt bag
n09863339	boffin
n02752496	athletic sock, sweat sock, varsity sock
n07563366	high vitamin diet, vitamin deficiency diet
n07608721	popcorn ball
n07934678	congou, congo, congou tea, english breakfast tea
n03775747	mizzen, mizen
n07833672	blue cheese dressing, roquefort dressing
n03215508	divided highway, dual carriageway
n13900287	toroid
n03261019	earflap, earlap
n06596474	news magazine
n01316422	scavenger
n03602790	journal box
n04151581	screen
n07734879	stuffed mushroom
n06267758	school newspaper, school paper
n10655442	steward
n10368624	nymphet
n04581829	wick, taper
n12988572	archil, orchil
n09731343	slovene
n04318982	still
n05314075	canthus
n12968309	brown cup
n10724132	transcriber
n07839730	soubise, white onion sauce
n06794110	street sign
n05538625	head, caput
n04283905	sponge mop
n02825657	bell cote, bell cot
n02925666	buskin, combat boot, desert boot, half boot, top boot
n04142327	scaling ladder
n03909160	pendulum
n00470554	professional football
n09867311	border patrolman
n03817522	negative pole
n04208427	shovel
n03342015	finger paint, fingerpaint
n03722007	marker
n09944160	committee member
n02974454	cascade liquefier
n10151133	guest
n03381126	footwear
n02950186	cannikin
n04172512	sennit
n09864632	bombshell
n07808352	tuna fish salad, tuna salad
n03370646	fluoroscope, roentgenoscope
n10135129	godson
n10206173	informer, betrayer, rat, squealer, blabber
n04137444	satellite, artificial satellite, orbiter
n15090742	b complex vitamin, b complex, vitamin b complex, vitamin b, b vitamin, b
n07610295	ambrosia, nectar
n07935878	branch water
n04027935	puttee
n03649003	lavalava
n10366966	nurse
n08506347	semidesert
n10646942	stamper, stomper, tramper, trampler
n03313333	facade, frontage, frontal
n07273802	cairn
n13155095	bracteole, bractlet
n02854926	blouse
n04035912	quoin, coign, coigne
n07894298	medoc
n04184316	shantung
n10282672	maid, maidservant, housemaid, amah
n10692482	taster, taste tester, taste tester, sampler
n10155222	hacker, cyber terrorist, cyberpunk
n07852532	bavarian blue
n09793352	anecdotist, raconteur
n07686634	simnel
n13161904	prickly edged leaf
n10323999	mixed blood
n03388183	fountain pen
n10236842	kink
n02786611	bandoleer, bandolier
n07870069	souvlaki, souvlakia
n09709673	creole
n07845863	homogenized milk
n10472447	primordial dwarf, hypoplastic dwarf, true dwarf, normal dwarf
n04450243	tomograph
n09903639	censor
n00288000	dressage
n10732854	tudor
n12988341	manna lichen
n09810166	arrival, arriver, comer
n03320845	fanion
n09779461	agony aunt
n07584423	borsch, borsh, borscht, borsht, borshch, bortsch
n10193650	huntress
n03883664	pannikin
n10497534	quadriplegic
n12973443	mucor
n07680416	barmbrack
n04532022	vestiture
n03557840	ice pack, ice bag
n03436075	ghat
n07586485	oxtail soup
n07850083	curd
n03170292	decoupage
n04579056	whiskey bottle
n01924800	bladder worm
n07853345	double gloucester
n09689435	afghan, afghanistani
n10131590	gitano
n07588688	scotch broth
n13055423	boletus chrysenteron
n10477955	processor
n10274173	lothario
n03581125	intersection, crossroad, crossway, crossing, carrefour
n05258051	forelock
n12995601	true fungus
n03805503	nailhead
n10536274	rocket scientist
n04354182	sumo ring
n03586631	ironmongery
n03885194	panting, trousering
n10450161	political scientist
n03085333	computer network
n10546428	sailing master, navigator
n00454493	troll, trolling
n10553140	satrap
n03978575	polo ball
n09976024	crapshooter
n10556518	schemer, plotter
n07598734	hard candy
n09758173	abstainer, ascetic
n02950256	cannon
n10457903	private citizen
n04059157	ready to wear
n10500217	queen
n13092987	eusporangium
n07903643	calvados
n02747672	ash pan
n10520544	renegade
n10227166	jungian
n04443766	toby, toby jug, toby fillpot jug
n03538179	horsebox
n10084043	female offspring
n04571292	weight, free weight, exercising weight
n13875392	ring, halo, annulus, doughnut, anchor ring
n04591157	windsor tie
n02157285	biped
n02744323	arterial road
n04256891	softball, playground ball
n13012253	entoloma lividum, entoloma sinuatum
n07599911	peanut brittle
n03726993	mast
n02403920	dogie, dogy, leppy
n10138369	good guy
n10379376	opportunist, self seeker
n07818133	fenugreek, fenugreek seed
n03436182	ghetto blaster, boom box
n10195155	hypertensive
n03825673	ninon
n09837459	bandsman
n10526534	revenant
n04459610	toweling, towelling
n03472672	gym suit
n07842605	shirred egg, baked egg, egg en cocotte
n07914128	refresher
n13055949	boletus luridus
n10302576	matriarch, materfamilias
n10228592	justiciar, justiciary
n07826250	tomato paste
n10597889	signora
n04100174	rod
n10249270	lawgiver, lawmaker
n07680168	anadama bread
n07916183	gin and it
n09994673	deacon, protestant deacon
n09776807	aficionado
n02709637	anchor chain, anchor rope
n10427359	photometrist, photometrician
n03263338	ecclesiastical attire, ecclesiastical robe
n10207077	polymath
n04131929	salver
n13038068	gyromitra esculenta, brain mushroom, beefsteak morel
n07815956	white pepper
n07607832	cachou
n07828275	lemon extract
n02977438	cash register, register
n04414476	terry, terry cloth, terrycloth
n02764779	axle
n03040836	clearway
n03396074	fret
n07937069	vichy water
n09793141	ancient
n07594250	self rising flour, self raising flour
n12966804	black root rot fungus, xylaria mali
n04476526	tray cloth
n02831894	besom
n04334105	strapless
n02790823	barbed wire, barbwire
n09964411	copycat, imitator, emulator, ape, aper
n09833751	balancer
n10113249	frontierswoman
n03266195	egg and dart, egg and anchor, egg and tongue
n03219966	dolman, dolman jacket
n09910222	charioteer
n03267821	elastic bandage
n00483313	singles
n12992868	fungus
n10314517	middleweight
n04121342	russet
n09641578	wasp, white anglo saxon protestant
n10093167	first offender
n10604880	sketcher
n04540053	volleyball
n10468750	president, prexy
n10033412	dressmaker, modiste, needlewoman, seamstress, sempstress
n04592596	wineskin
n10328123	monetarist
n10578021	semifinalist
n03866082	overskirt
n04186268	shaving foam
n07931870	may wine
n03016609	chicken wire
n00447073	sledding
n10166394	heathen, pagan, gentile, infidel
n02808968	bathysphere
n03417749	garden
n10097590	florentine
n10548419	salesgirl, saleswoman, saleslady
n04605446	wrap, wrapper
n10332385	mother, female parent
n04284869	sport kite, stunt kite
n10505347	rainmaker
n04136333	sarong
n03676087	lip gloss
n07563207	high protein diet
n03927792	physical pendulum, compound pendulum
n02395855	sucking pig
n07599242	lemon drop
n10560106	schoolmate, classmate, schoolfellow, class fellow
n09811712	articulator
n13052248	polyporus tenuiculus
n09791816	anarchist, nihilist, syndicalist
n07617051	frozen custard, soft ice cream
n13063269	rust, rust fungus
n03715892	mallet
n10144338	grass widower, divorced man
n07712748	corn chip
n09666883	kachina
n00475403	three hitter, 3 hitter
n07936548	soda water, carbonated water, club soda, seltzer, sparkling water
n09704283	geordie
n04026417	purse
n04525417	veneer, veneering
n02684649	aglet, aiglet
n07822323	cardamom, cardamon, cardamum
n09631129	unwelcome person, persona non grata
n03938725	pillow sham
n09784043	algebraist
n09635635	afrikaner, afrikander, boer
n07893253	blush wine, pink wine, rose, rose wine
n10224578	journalist
n05459101	spermatid
n09919200	chiropractor
n04400737	telegraph key
n10377291	olympian
n03902482	peach orchard
n09848489	believer, truster
n09988703	dallier, dillydallier, dilly dallier, mope, lounger
n03720005	mao jacket
n02981565	catalytic cracker, cat cracker
n02855793	bludgeon
n10581890	serjeant at law, serjeant, sergeant at law, sergeant
n07918706	swizzle
n03736147	meat hook
n03532342	hook
n10020366	divorcee, grass widow
n04971211	carnation
n03344642	firebrick
n07812913	wintergreen oil, oil of wintergreen
n10102800	forefather, father, sire
n02152740	predator, predatory animal
n13035389	lorchel
n02865351	bolo tie, bolo, bola tie, bola
n07896994	plonk
n10381804	orderly, hospital attendant
n04447443	toiletry, toilet articles
n04200000	shoe
n02834397	bib
n04497801	tuning fork
n12994892	promycelium
n13863473	solid figure, three dimensional figure
n02834642	bicorn, bicorne
n04082886	reticle, reticule, graticule
n09670280	taracahitian
n10387324	right handed pitcher, right hander
n04030965	quadraphony, quadraphonic system, quadriphonic system
n10396908	paperboy
n03888257	parachute, chute
n04187970	sheepskin coat, afghan
n03401721	fuel system
n04235860	sleeping bag
n10053808	employee
n07890226	porter, porter's beer
n04179712	sewing basket
n09983889	curator, conservator
n04233832	slack suit
n09996304	deadhead
n10009276	detective, investigator, tec, police detective
n07685730	rye bread
n04583888	wide wale
n07807834	macaroni salad
n10667709	subaltern
n04124098	saddlebag
n10539160	rosebud
n04558804	watercolor, water color, watercolour, water colour
n10732967	tumbler
n04515729	upstairs
n04172342	semitrailer, semi
n03285578	encaustic
n10599806	singer, vocalist, vocalizer, vocaliser
n07836456	chinese brown sauce, brown sauce
n07935379	oolong
n03284482	emulsion, photographic emulsion
n04113968	round bottom flask
n13160604	crenate leaf
n06266973	rotogravure
n03937835	pillbox, toque, turban
n04001661	pressurized water reactor, pwr
n10315456	milanese
n07854813	swiss cheese
n03223553	doorplate
n09658921	kichai
n02925009	bushel basket
n04392526	tape deck
n07911061	ratafia, ratafee
n13043926	puffball, true puffball
n10393909	painter
n03471190	gusset, inset
n04210012	shrapnel
n07581775	cocktail
n03528901	home plate, home base, home, plate
n03274265	electric toothbrush
n13029610	caloscypha fulgens
n03521771	hip pad
n03106722	cord, corduroy
n10143595	grantee
n04405762	television monitor, tv monitor
n10745006	valedictorian, valedictory speaker
n10496489	pygmy, pigmy
n04404412	television, television system
n15089803	vitamin a, antiophthalmic factor, axerophthol, a
n10051975	emigrant, emigre, emigree, outgoer
n00480366	jai alai, pelota
n04590553	windshield, windscreen
n15091473	vitamin b2, vitamin g, riboflavin, lactoflavin, ovoflavin, hepatoflavin
n01339336	herpes zoster, herpes zoster virus
n13131028	umbel
n02739668	armor, armour
n10241024	labor coach, birthing coach, doula, monitrice
n10724372	transfer, transferee
n10483138	propagator, disseminator
n00007846	person, individual, someone, somebody, mortal, soul
n03239054	dress suit, full dress, tailcoat, tail coat, tails, white tie, white tie and tails
n02772435	badminton court
n07618871	pease pudding
n04488427	trough
n07851443	double cream
n10196404	iceman
n03100490	conveyance, transport
n07839478	roux
n10283546	major domo, seneschal
n10386754	outdoorswoman
n10716576	tory
n07688021	corn cake
n10538733	roper
n07878647	stuffed peppers
n10722029	trail boss
n04172904	separate
n03140126	crucible, melting pot
n10518349	reliever, allayer, comforter
n06340977	hakham
n10202225	inamorato
n07924560	grape juice
n07685218	nut bread
n09703809	cornishman
n04371430	swimming trunks, bathing trunks
n07689842	zwieback, rusk, brussels biscuit, twice baked bread
n09189157	aerie, aery, eyrie, eyry
n10755080	violist
n03235796	drawstring bag
n04232153	skullcap
n00456465	day game
n03823111	nib, pen nib
n10097995	flower girl
n03091374	connection, connexion, connector, connecter, connective
n05418717	vein, vena, venous blood vessel
n03582508	intravenous pyelogram, ivp
n03343047	fin keel
n09828403	baby boomer, boomer
n09961331	contributor
n10179069	hobbyist
n10421956	philanthropist, altruist
n10387196	right fielder
n04282872	split rail, fence rail
n03733805	measuring cup
n07920052	espresso
n10497135	qadi
n01423617	gregarine
n07873807	pizza, pizza pie
n03920737	petticoat, half slip, underskirt
n09801102	apprehender
n02938321	calcimine
n02846511	blackboard, chalkboard
n07936263	drinking water
n02791795	bar bit
n10328941	monolingual
n10728117	trencher
n09979913	croesus
n10777299	whisperer
n02895154	breastplate, aegis, egis
n07831663	wine sauce
n07803213	pearl barley
n04054566	rariora
n13239921	zygospore
n07732525	pearl hominy
n09653438	comanche
n00444846	scuba diving
n13132034	peduncle
n13231919	armillaria caligata, booted armillaria
n10487363	psalmist
n10076957	falsifier
n03530511	hone
n04295081	stable gear, saddlery, tack
n03662887	life jacket, life vest, cork jacket
n07579917	adobo
n10118743	gambist
n03865371	overnighter, overnight bag, overnight case
n10365514	nudger
n09835017	ballet mistress
n04204238	shopping basket
n10591811	shopaholic
n03442487	glyptics, lithoglyptics
n03422072	gas burner, gas jet
n04961331	bone, ivory, pearl, off white
n02945964	campaign hat
n07820497	sage
n03504293	headpin, kingpin
n03597317	jewelled headdress, jeweled headdress
n10197392	ideologist, ideologue
n03404900	furnace lining, refractory
n01386354	myrmecophile
n04207763	shoulder holster
n02831595	bermuda shorts, jamaica shorts
n09901786	catholicos
n07624924	pirogi, piroshki, pirozhki
n10305802	medical practitioner, medical man
n10573957	sectarian, sectary, sectarist
